date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime,likes,retweets,neutral,negative,positive,composite
2021-02-05,13:30,1:30 PM,859.96,859.6,859.838,556,478069.955,12,860,859.5,859.827,10889,9362660.65,63,859.6,859.95,859.71,859.55,0.016740355,0.016705707,0,1,1,0,0,0
2021-02-05,13:31,1:31 PM,859.43,859.15,859.313,1003,861890.67,17,859.5,859.06,859.285,10475,9001015.214,79,859.31,859.18,859.5,859.18,0.016119553,0.016064817,1,1.5,0.866,0,0.134,0.2553
2021-02-05,13:32,1:32 PM,859.15,858.17,858.564,385,330547.03,7,859.16,857.861,858.477,41285,35442223.92,184,859.15,858.17,859.16,857.861,0.015233877,0.015109395,6,3,0.9025,0,0.0975,0.2787
2021-02-05,13:33,1:33 PM,857.51,856.715,857.265,468,401199.94,10,857.8,856.3,856.931,35113,30089415.13,198,857.51,857.36,857.8,857.24,0.013697836,0.013281321,1,0,0.897666667,0.018666667,0.083666667,0.207933333
2021-02-05,13:34,1:34 PM,857,856.65,856.835,262,224490.86,5,857.423,856.36,856.913,20463,17535011.73,91,856.72,856.65,857.17,856.62,0.01318937,0.013260037,0,0,0.927,0.073,0,-0.296
2021-02-05,13:36,1:36 PM,858.015,857.2,857.87,233,199883.715,5,858.09,857.1,857.667,21599,18524747.39,120,857.2,857.88,857.1,858.09,0.014413236,0.014151607,0,0.5,1,0,0,0
2021-02-05,13:37,1:37 PM,857.96,857.68,857.794,195,167269.82,4,858.13,857.585,857.882,9039,7754398.659,47,857.68,857.76,858.13,857.88,0.014323368,0.014405835,12,8,1,0,0,0
2021-02-05,13:38,1:38 PM,857.94,857.35,857.719,418,358526.75,10,858,857.21,857.745,7557,6481978,58,857.89,857.35,857.89,857.21,0.014234682,0.014243839,0,0,0.882,0,0.118,0.5574
2021-02-05,13:40,1:40 PM,858.79,857.95,858.2,919,788686.12,17,858.76,857.86,858.227,16750,14375304.05,102,857.99,858.74,857.982,858.693,0.014803454,0.014813781,0,0,0.8255,0.045,0.13,0.24455
2021-02-05,13:42,1:42 PM,858.35,858.16,858.304,451,387095.29,9,858.469,858.094,858.26,6044,5187321.674,33,858.23,858.175,858.28,858.172,0.014926432,0.014852802,1,0,0.873666667,0.079666667,0.046666667,-0.008133333
2021-02-05,13:43,1:43 PM,858.29,858.1,858.175,347,297786.6,6,858.37,857.88,858.082,5026,4312719.19,33,858.24,858.28,858.185,857.938,0.014773892,0.014642325,0,0,0.678,0.175,0.147,-0.0644
2021-02-05,13:44,1:44 PM,858.29,857.88,858.12,390,334666.73,8,858.29,857.82,858.063,5000,4290317.623,41,857.88,858.19,857.89,858.19,0.014708856,0.014619859,0,0,1,0,0,0
2021-02-05,13:45,1:45 PM,858.185,857.875,858.113,320,274596.08,9,858.21,857.86,858.037,3508,3009993.392,26,858.12,857.875,858.119,857.86,0.014700579,0.014589115,2,0,0.822,0.047,0.131,0.5859
2021-02-05,13:46,1:46 PM,858.28,857.885,858.043,222,190485.49,14,858.28,857.88,858.011,10796,9263085.474,29,857.94,858.28,857.98,858.275,0.014617805,0.014558371,1.5,0,0.9665,0.0335,0,-0.2294
2021-02-05,13:48,1:48 PM,859.01,858.67,858.891,136,116809.18,5,859.1,858.53,858.898,7126,6120509.64,47,858.67,859.01,858.69,858.62,0.015620547,0.015607208,0,0,1,0,0,0
2021-02-05,13:49,1:49 PM,858.93,858.58,858.673,836,717850.3,13,858.97,858.52,858.696,7331,6295102.265,47,858.6,858.925,858.62,858.85,0.015362767,0.015368352,4,2,1,0,0,0
2021-02-05,13:53,1:53 PM,857.57,856.24,857.105,3202,2744451.385,27,857.57,856.195,856.858,20194,17303386.11,106,857.57,856.24,857.53,856.24,0.01350864,0.013195002,2,0,1,0,0,0
2021-02-05,13:54,1:54 PM,856.17,855.11,855.365,2850,2437790.56,16,856.26,855,855.424,47828,40913202.09,192,856.06,855.14,856.18,855.09,0.011451126,0.011499363,1,0,0.892,0.108,0,-0.6908
2021-02-05,13:55,1:55 PM,855.685,855.15,855.389,283,242075.13,7,855.818,854.98,855.284,20649,17660766.48,120,855.15,855.685,855.299,855.655,0.011479506,0.01133382,0.5,0.5,0.862,0.138,0,-0.31845
2021-02-05,13:56,1:56 PM,856.29,855.49,855.742,1178,1008064.22,9,856.31,855.34,855.795,21342,18264386.48,132,855.52,856.29,855.71,856.057,0.011896921,0.011938054,0,0,0.505,0.273,0.222,-0.128
2021-02-05,13:58,1:58 PM,856.18,854.51,855.147,2240,1915528.59,24,856.36,854.25,855.233,60828,52022130.89,383,855.68,854.89,855.405,854.69,0.011193346,0.011273515,3,0,1,0,0,0
2021-02-05,13:59,1:59 PM,855.29,854.535,854.692,1008,861529.56,13,855.44,854.425,854.95,12548,10727910.73,78,854.535,855.29,854.772,855.26,0.010655318,0.01093888,11.66666667,4.333333333,0.957,0,0.043,0.1589
2021-02-05,14:00,2:00 PM,855.29,853.94,854.353,2818,2407567.445,30,855.7,853.78,854.583,47055,40212430.07,349,855.29,854.17,855.2,854.121,0.010254458,0.01050492,0.5,0,0.831,0,0.169,0.4329
2021-02-05,14:01,2:01 PM,853.96,852.8,853.386,4193,3578246.11,25,854.3,852.81,853.374,40201,34306499.72,205,853.865,853,854.3,852.889,0.009111,0.009075333,2.75,0.5,0.902,0,0.098,0.398725
2021-02-05,14:02,2:02 PM,853.8,852.85,853.468,557,475381.875,16,853.81,852.76,853.351,28318,24165207.78,116,852.85,853.8,852.8,853.744,0.009207964,0.009048137,0,0,0.594,0,0.406,0.6249
2021-02-05,14:04,2:04 PM,856.025,854.01,855.142,2105,1800074.545,29,856.01,853.81,855.077,42213,36095389.36,265,854.31,855.85,854.49,855.5,0.011187434,0.011089052,2,0,1,0,0,0
2021-02-05,14:05,2:05 PM,855.94,855.325,855.603,1354,1158487.04,17,856.111,855.36,855.639,22783,19494032.3,118,855.6,855.94,855.55,855.82,0.011732556,0.011753591,0,0,0.779,0,0.221,0.6597
2021-02-05,14:06,2:06 PM,856.04,855.63,855.96,64,54781.41,4,856.08,855.6,855.839,16002,13695133.94,106,855.63,855.95,855.751,856.068,0.012154701,0.011990082,6,2,0.9725,0.0275,0,-0.064
2021-02-05,14:07,2:07 PM,855.9,855.14,855.488,446,381547.745,16,856,855.01,855.559,18143,15522415.21,103,855.9,855.23,855.997,855.09,0.011596571,0.011658995,0,0,0.844,0.0905,0.0655,-0.0005
2021-02-05,14:08,2:08 PM,856.79,855.24,855.691,313,267831.325,6,857.058,855.24,856.357,20922,17916697.39,135,855.24,856.75,855.24,856.46,0.011836615,0.012602593,1,0.5,0.833,0,0.167,0.54455
2021-02-05,14:09,2:09 PM,856.625,856.24,856.573,37,31693.205,3,856.99,856.14,856.648,18301,15677514.73,80,856.625,856.24,856.44,856.805,0.012879561,0.012946687,1,0,0.921,0,0.079,0.35015
2021-02-05,14:11,2:11 PM,857.515,857.48,857.481,46,39444.15,2,858.25,857.14,857.739,23268,19957860.05,122,857.48,857.515,857.36,857.46,0.013953252,0.014236744,25,2,0.908,0,0.092,0.5499
2021-02-05,14:12,2:12 PM,857.78,857.68,857.779,101,86635.68,2,857.92,857.4,857.709,11619,9965722.654,56,857.68,857.78,857.48,857.67,0.014305631,0.01420127,0,0,0.941,0,0.059,0.4404
2021-02-05,14:14,2:14 PM,857.96,857.19,857.453,7039,6035613.31,12,857.97,857,857.426,27384,23479740.45,124,857.645,857.21,857.62,857.34,0.013920142,0.013866636,0,0,0.854,0.044,0.101,0.4215
2021-02-05,14:15,2:15 PM,858.01,857.15,857.829,741,635651.2,9,858.19,857.121,857.851,25456,21837451.65,136,857.15,858,857.22,857.99,0.014364755,0.014369179,1,0,1,0,0,0
2021-02-05,14:16,2:16 PM,858.93,858.02,858.332,828,710699.04,17,859.3,857.84,858.469,40181,34494144.46,214,858.02,858.93,858,859.26,0.014959541,0.015099935,4,0.5,0.83,0.06,0.11,0.31245
2021-02-05,14:17,2:17 PM,859.67,859.1,859.298,46,39527.72,3,859.854,858.78,859.384,40874,35126476.14,200,859.67,859.1,859.295,859.52,0.016101816,0.01618188,719.5,43.5,0.7015,0.2005,0.098,-0.66475
2021-02-05,14:18,2:18 PM,859.125,858.89,858.957,566,486169.9,10,859.39,858.85,859.078,18733,16093117.09,81,859.02,858.89,859.13,859.13,0.015698591,0.015820049,0.666666667,0,0.752,0.096666667,0.151333333,0.140066667
2021-02-05,14:19,2:19 PM,859.22,858.97,859.11,283,243128.01,4,859.53,858.55,858.952,13028,11190422.95,82,858.97,859.2,858.94,859.259,0.01587951,0.01567106,15,1,0.811,0,0.189,0.4215
2021-02-05,14:20,2:20 PM,859.2,858.79,859.118,244,209624.89,8,859.41,858.44,859.126,12982,11153169.11,89,859.03,858.79,859.2,858.47,0.01588897,0.015876807,1.5,1,0.843,0.022,0.135,0.58365
2021-02-05,14:23,2:23 PM,856.44,855.93,856.201,2127,1821138.84,14,856.6,855.71,856.179,38450,32920086.06,187,855.93,856.11,856.37,856.19,0.012439679,0.012392116,0,1,1,0,0,0
2021-02-05,14:26,2:26 PM,855.69,854.43,855.182,543,464363.885,10,855.79,854.211,855.144,30872,26400012.81,124,855.28,854.43,855.14,854.535,0.011234733,0.011168276,0.5,2,0.803,0,0.197,0.4329
2021-02-05,14:27,2:27 PM,855.77,855.64,855.705,379,324312.375,6,855.821,854.66,855.43,16821,14389191.64,67,855.64,855.715,854.66,855.715,0.011853169,0.011506458,1,4,0.606,0,0.394,0.8658
2021-02-05,14:29,2:29 PM,854.41,854.04,854.181,252,215253.68,7,854.603,853.72,854.195,24806,21189153.57,102,854.41,854.19,854.49,854.51,0.010051071,0.010046128,3,1,1,0,0,0
2021-02-05,14:31,2:31 PM,855.44,854.64,854.916,920,786522.955,24,855.68,854.68,855.24,16338,13972917.11,93,855.44,854.95,855.364,854.87,0.010920193,0.011281792,0,0,1,0,0,0
2021-02-05,14:32,2:32 PM,855.19,854.86,855.085,87,74392.4,6,855.43,854.82,855.13,12183,10418055.49,55,855.19,855.02,855.035,854.98,0.011120032,0.011151722,1.8,0.2,0.9388,0.014,0.0472,0.09162
2021-02-05,14:33,2:33 PM,855.045,854.66,854.851,561,479571.69,10,855.09,854.55,854.822,11908,10179216.97,69,855.045,854.87,854.917,855,0.010843332,0.010787526,2,1,1,0,0,0
2021-02-05,14:34,2:34 PM,855.92,854.76,855.72,245,209651.36,8,855.96,854.732,855.274,12074,10326574.25,54,854.76,855.54,854.82,855.49,0.011870906,0.011321995,0,0,0.8925,0.029,0.0785,0.3454
2021-02-05,14:35,2:35 PM,855.98,855.24,855.759,440,376534.06,7,856,855,855.718,17903,15319927.22,106,855.71,855.24,855.69,855,0.011917023,0.011847005,0,0,1,0,0,0
2021-02-05,14:37,2:37 PM,855.05,854.695,854.825,241,206012.885,8,855.176,854.6,854.837,12547,10725638.63,81,855.05,854.71,854.928,854.87,0.010812588,0.010805263,0,0,0.668,0.12,0.212,0.5859
